id,product_id,size,price,description
198,28,4/5,£10.99,
199,28,5/6,£10.99,
200,28,6/7,£10.99,
201,28,7/8,£10.99,
202,29,Choose Options,£24.99,
203,29,2/3,£24.99,
204,29,3/4,£24.99,
205,29,4/5,£24.99,
206,29,5/6,£24.99,
207,30,Choose Options,£8.29,
208,30,6 (Childrens),£8.29,
209,30,7 (Childrens),£8.29,
210,30,8 (Childrens),£8.29,
211,30,9 (Childrens),£8.29,
212,30,10 (Childrens),£8.29,
213,30,11 (Childrens),£8.29,
214,30,12 (Childrens),£8.29,
215,30,13 (Childrens),£8.29,
216,30,1,£8.29,
217,30,2,£8.29,
218,30,3,£8.29,
219,30,4,£8.29,
220,30,5,£8.89,
221,30,6,£8.89,
222,30,7,£8.89,
223,31,Choose Options,£10.99,
224,31,3/4,£10.99,
225,31,4/5,£10.99,
226,31,5/6,£10.99,
227,31,6/7,£10.99,
228,31,7/8,£10.99,
229,32,Choose Options,£8.99,
230,32,2/3,£8.99,
231,32,3/4,£8.99,
232,32,4/5,£8.99,
233,32,5/6,£8.99,
234,32,7/8,£8.99,
235,33,Choose Options,£9.99,
236,33,2/3,£9.99,
237,33,3/4,£9.99,
238,33,4/5,£9.99,
239,33,5/6,£9.99,
240,33,7/8,£9.99,
241,34,Choose Options,£24.99,
242,34,2/3,£24.99,
243,34,3/4,£24.99,
244,34,4/5,£24.99,
245,34,5/6,£24.99,
246,35,Choose Options,£8.29,
247,35,6 (Childrens),£8.29,
248,35,7 (Childrens),£8.29,
249,35,8 (Childrens),£8.29,
250,35,9 (Childrens),£8.29,
251,35,10 (Childrens),£8.29,
252,35,11 (Childrens),£8.29,
253,35,12 (Childrens),£8.29,
254,35,13 (Childrens),£8.29,
255,35,1,£8.29,
256,35,2,£8.29,
257,35,3,£8.29,
258,35,4,£8.29,
259,35,5,£8.89,
260,35,6,£8.89,
261,35,7,£8.89,
262,36,Choose Options,£10.99,
263,36,3/4,£10.99,
264,36,4/5,£10.99,
265,36,5/6,£10.99,
266,36,6/7,£10.99,
267,36,7/8,£10.99,
268,37,Choose Options,£24.99,
269,37,2/3,£24.99,
270,37,3/4,£24.99,
271,37,4/5,£24.99,
272,37,5/6,£24.99,
273,38,Choose Options,£8.29,
274,38,6 (Childrens),£8.29,
275,38,7 (Childrens),£8.29,
276,38,8 (Childrens),£8.29,
277,38,9 (Childrens),£8.29,
278,38,10 (Childrens),£8.29,
279,38,11 (Childrens),£8.29,
